,actual,predicted
0,[20.],[7.3864183]
1,[1.],[8.764725]
2,[28.],[21.4594]
3,[23.],[28.506691]
4,[8.],[13.6149845]
5,[21.],[23.69609]
6,[34.],[10.812005]
7,[5.],[3.4614544]
8,[29.],[19.00027]
9,[98.],[126.615524]
10,[108.],[73.19288]
11,[25.],[23.109278]
12,[4.],[3.6740642]
13,[92.],[85.48903]
14,[14.],[13.333169]
15,[134.],[170.19095]
16,[114.],[92.45628]
17,[85.],[110.612]
18,[2.],[2.3921468]
19,[26.],[26.193062]
20,[101.],[57.40696]
21,[42.],[59.68267]
22,[19.],[23.227562]
23,[212.],[238.87318]
24,[11.],[14.845812]
25,[4.],[10.512263]
26,[32.],[32.714275]
27,[22.],[30.14441]
28,[3.],[7.105879]
29,[57.],[68.60208]
30,[21.],[31.009583]
31,[10.],[5.603574]
32,[98.],[76.50799]
33,[89.],[74.321686]
34,[2.],[14.435439]
35,[18.],[21.827957]
36,[59.],[70.28693]
37,[0.],[3.7592654]
38,[24.],[20.938316]
39,[22.],[30.904812]
40,[16.],[16.05346]
41,[430.],[433.65967]
42,[12.],[10.114116]
43,[168.],[174.19669]
44,[1.],[3.8449507]
45,[4.],[12.569937]
46,[86.],[104.70247]
47,[1.],[3.9261553]
48,[13.],[9.209957]
49,[2.],[2.9564047]
50,[6.],[14.430705]
51,[17.],[38.488937]
52,[80.],[59.081886]
53,[26.],[52.42325]
54,[2.],[7.8294935]
55,[0.],[7.7094965]
56,[34.],[28.92331]
57,[147.],[157.14987]
58,[2.],[2.2806497]
59,[34.],[46.218407]
60,[103.],[87.79683]
61,[64.],[46.485703]
62,[26.],[18.953543]
63,[42.],[49.849068]
64,[70.],[102.17925]
65,[38.],[27.620306]
66,[44.],[62.9642]
67,[44.],[37.16427]
68,[36.],[68.78525]
69,[49.],[63.212074]
70,[20.],[31.856844]
71,[12.],[26.805698]
72,[58.],[46.29365]
73,[20.],[10.603938]
74,[36.],[41.396774]
