,name,SID,timestamp,visitors,avgDuration,weekday,hour_sin,hour_cos,weekday_sin,weekday_cos
7694,Kurpark - Eingang Parkstraße,b40103c5-1f38-4c15-9781-8788ae4790da,2025-06-30 03:00:00+02:00,0.0,0.0,0,0.8660254037844386,0.5000000000000001,0.0,1.0
2410,Kurpark - Eingang Parkstraße,b40103c5-1f38-4c15-9781-8788ae4790da,2025-06-30 04:00:00+02:00,0.0,0.0,0,0.8660254037844386,0.5000000000000001,0.0,1.0
2411,Kurpark - Eingang Parkstraße,b40103c5-1f38-4c15-9781-8788ae4790da,2025-06-30 05:00:00+02:00,1.0,0.77,0,0.9659258262890683,0.25881904510252074,0.0,1.0
2412,Kurpark - Eingang Parkstraße,b40103c5-1f38-4c15-9781-8788ae4790da,2025-06-30 06:00:00+02:00,2.0,1.7,0,1.0,6.123233995736766e-17,0.0,1.0
2413,Kurpark - Eingang Parkstraße,b40103c5-1f38-4c15-9781-8788ae4790da,2025-06-30 07:00:00+02:00,8.0,2.31,0,0.9659258262890683,-0.25881904510252063,0.0,1.0
2414,Kurpark - Eingang Parkstraße,b40103c5-1f38-4c15-9781-8788ae4790da,2025-06-30 08:00:00+02:00,5.0,5.78,0,0.8660254037844387,-0.4999999999999998,0.0,1.0
2415,Kurpark - Eingang Parkstraße,b40103c5-1f38-4c15-9781-8788ae4790da,2025-06-30 09:00:00+02:00,10.0,2.8200000000000003,0,0.7071067811865476,-0.7071067811865475,0.0,1.0
7695,Kurpark - Eingang Parkstraße,b40103c5-1f38-4c15-9781-8788ae4790da,2025-06-30 10:00:00+02:00,4.0,2.31,0,0.49999999999999994,-0.8660254037844387,0.0,1.0
2416,Kurpark - Eingang Parkstraße,b40103c5-1f38-4c15-9781-8788ae4790da,2025-06-30 11:00:00+02:00,17.0,6.506666666666667,0,0.258819045102521,-0.9659258262890682,0.0,1.0
2417,Kurpark - Eingang Parkstraße,b40103c5-1f38-4c15-9781-8788ae4790da,2025-06-30 12:00:00+02:00,12.0,5.793333333333333,0,1.2246467991473532e-16,-1.0,0.0,1.0
2418,Kurpark - Eingang Parkstraße,b40103c5-1f38-4c15-9781-8788ae4790da,2025-06-30 13:00:00+02:00,11.0,2.52,0,-0.2588190451025208,-0.9659258262890683,0.0,1.0
2419,Kurpark - Eingang Parkstraße,b40103c5-1f38-4c15-9781-8788ae4790da,2025-06-30 14:00:00+02:00,7.0,9.52,0,-0.4999999999999997,-0.8660254037844388,0.0,1.0
2420,Kurpark - Eingang Parkstraße,b40103c5-1f38-4c15-9781-8788ae4790da,2025-06-30 15:00:00+02:00,9.0,4.98,0,-0.7071067811865471,-0.7071067811865479,0.0,1.0
2421,Kurpark - Eingang Parkstraße,b40103c5-1f38-4c15-9781-8788ae4790da,2025-06-30 16:00:00+02:00,4.0,9.94,0,-0.8660254037844384,-0.5000000000000004,0.0,1.0
2422,Kurpark - Eingang Parkstraße,b40103c5-1f38-4c15-9781-8788ae4790da,2025-06-30 17:00:00+02:00,11.0,8.67,0,-0.9659258262890683,-0.25881904510252063,0.0,1.0
2423,Kurpark - Eingang Parkstraße,b40103c5-1f38-4c15-9781-8788ae4790da,2025-06-30 18:00:00+02:00,15.0,6.83,0,-1.0,-1.8369701987210297e-16,0.0,1.0
2424,Kurpark - Eingang Parkstraße,b40103c5-1f38-4c15-9781-8788ae4790da,2025-06-30 19:00:00+02:00,4.0,9.535,0,-0.9659258262890684,0.2588190451025203,0.0,1.0
2425,Kurpark - Eingang Parkstraße,b40103c5-1f38-4c15-9781-8788ae4790da,2025-06-30 20:00:00+02:00,6.0,6.25,0,-0.8660254037844386,0.5000000000000001,0.0,1.0
2426,Kurpark - Eingang Parkstraße,b40103c5-1f38-4c15-9781-8788ae4790da,2025-06-30 21:00:00+02:00,4.0,6.56,0,-0.7071067811865477,0.7071067811865474,0.0,1.0
7696,Kurpark - Eingang Parkstraße,b40103c5-1f38-4c15-9781-8788ae4790da,2025-06-30 22:00:00+02:00,4.0,4.17,0,-0.7071067811865477,0.7071067811865474,0.0,1.0
7697,Kurpark - Eingang Parkstraße,b40103c5-1f38-4c15-9781-8788ae4790da,2025-06-30 23:00:00+02:00,4.0,2.975,0,-0.7071067811865477,0.7071067811865474,0.0,1.0
2427,Kurpark - Eingang Parkstraße,b40103c5-1f38-4c15-9781-8788ae4790da,2025-07-01 00:00:00+02:00,4.0,1.78,1,0.0,1.0,0.7818314824680298,0.6234898018587336
7698,Kurpark - Eingang Parkstraße,b40103c5-1f38-4c15-9781-8788ae4790da,2025-07-01 01:00:00+02:00,1.0,0.75,1,0.25881904510252074,0.9659258262890683,0.7818314824680298,0.6234898018587336
7699,Kurpark - Eingang Parkstraße,b40103c5-1f38-4c15-9781-8788ae4790da,2025-07-01 02:00:00+02:00,0.0,0.0,1,0.49999999999999994,0.8660254037844387,0.7818314824680298,0.6234898018587336
7700,Kurpark - Eingang Parkstraße,b40103c5-1f38-4c15-9781-8788ae4790da,2025-07-01 03:00:00+02:00,1.0,88.18,1,0.7071067811865475,0.7071067811865476,0.7818314824680298,0.6234898018587336
2428,Kurpark - Eingang Parkstraße,b40103c5-1f38-4c15-9781-8788ae4790da,2025-07-01 04:00:00+02:00,0.0,0.0,1,0.8660254037844386,0.5000000000000001,0.7818314824680298,0.6234898018587336
2429,Kurpark - Eingang Parkstraße,b40103c5-1f38-4c15-9781-8788ae4790da,2025-07-01 05:00:00+02:00,2.0,4.47,1,0.9659258262890683,0.25881904510252074,0.7818314824680298,0.6234898018587336
2430,Kurpark - Eingang Parkstraße,b40103c5-1f38-4c15-9781-8788ae4790da,2025-07-01 06:00:00+02:00,4.0,4.34,1,1.0,6.123233995736766e-17,0.7818314824680298,0.6234898018587336
2431,Kurpark - Eingang Parkstraße,b40103c5-1f38-4c15-9781-8788ae4790da,2025-07-01 07:00:00+02:00,5.0,1.59,1,0.9659258262890683,-0.25881904510252063,0.7818314824680298,0.6234898018587336
2432,Kurpark - Eingang Parkstraße,b40103c5-1f38-4c15-9781-8788ae4790da,2025-07-01 08:00:00+02:00,3.0,0.7825,1,0.8660254037844387,-0.4999999999999998,0.7818314824680298,0.6234898018587336
2433,Kurpark - Eingang Parkstraße,b40103c5-1f38-4c15-9781-8788ae4790da,2025-07-01 09:00:00+02:00,15.0,1.4866666666666666,1,0.7071067811865476,-0.7071067811865475,0.7818314824680298,0.6234898018587336
2434,Kurpark - Eingang Parkstraße,b40103c5-1f38-4c15-9781-8788ae4790da,2025-07-01 10:00:00+02:00,4.0,4.845000000000001,1,0.49999999999999994,-0.8660254037844387,0.7818314824680298,0.6234898018587336
2435,Kurpark - Eingang Parkstraße,b40103c5-1f38-4c15-9781-8788ae4790da,2025-07-01 11:00:00+02:00,9.0,3.8899999999999997,1,0.258819045102521,-0.9659258262890682,0.7818314824680298,0.6234898018587336
2436,Kurpark - Eingang Parkstraße,b40103c5-1f38-4c15-9781-8788ae4790da,2025-07-01 12:00:00+02:00,10.0,7.2,1,1.2246467991473532e-16,-1.0,0.7818314824680298,0.6234898018587336
