,name,SID,timestamp,visitors,avgDuration,weekday,hour_sin,hour_cos,weekday_sin,weekday_cos
7215,Kurpark - Großer Teich Nord Ost,4e3bbfd4-bb31-424b-99d7-b67ec0a4e026,2025-06-30 03:00:00+02:00,0.0,0.0,0,0.8660254037844386,0.5000000000000001,0.0,1.0
1214,Kurpark - Großer Teich Nord Ost,4e3bbfd4-bb31-424b-99d7-b67ec0a4e026,2025-06-30 04:00:00+02:00,0.0,0.0,0,0.8660254037844386,0.5000000000000001,0.0,1.0
1215,Kurpark - Großer Teich Nord Ost,4e3bbfd4-bb31-424b-99d7-b67ec0a4e026,2025-06-30 05:00:00+02:00,4.0,4.91,0,0.9659258262890683,0.25881904510252074,0.0,1.0
1216,Kurpark - Großer Teich Nord Ost,4e3bbfd4-bb31-424b-99d7-b67ec0a4e026,2025-06-30 06:00:00+02:00,9.0,2.65,0,1.0,6.123233995736766e-17,0.0,1.0
1217,Kurpark - Großer Teich Nord Ost,4e3bbfd4-bb31-424b-99d7-b67ec0a4e026,2025-06-30 07:00:00+02:00,21.0,5.54,0,0.9659258262890683,-0.25881904510252063,0.0,1.0
1218,Kurpark - Großer Teich Nord Ost,4e3bbfd4-bb31-424b-99d7-b67ec0a4e026,2025-06-30 08:00:00+02:00,19.0,11.636000000000001,0,0.8660254037844387,-0.4999999999999998,0.0,1.0
1219,Kurpark - Großer Teich Nord Ost,4e3bbfd4-bb31-424b-99d7-b67ec0a4e026,2025-06-30 09:00:00+02:00,14.0,9.465,0,0.7071067811865476,-0.7071067811865475,0.0,1.0
7216,Kurpark - Großer Teich Nord Ost,4e3bbfd4-bb31-424b-99d7-b67ec0a4e026,2025-06-30 10:00:00+02:00,9.0,17.73,0,0.49999999999999994,-0.8660254037844387,0.0,1.0
1220,Kurpark - Großer Teich Nord Ost,4e3bbfd4-bb31-424b-99d7-b67ec0a4e026,2025-06-30 11:00:00+02:00,13.0,15.1,0,0.258819045102521,-0.9659258262890682,0.0,1.0
1221,Kurpark - Großer Teich Nord Ost,4e3bbfd4-bb31-424b-99d7-b67ec0a4e026,2025-06-30 12:00:00+02:00,10.0,5.88,0,1.2246467991473532e-16,-1.0,0.0,1.0
1222,Kurpark - Großer Teich Nord Ost,4e3bbfd4-bb31-424b-99d7-b67ec0a4e026,2025-06-30 13:00:00+02:00,8.0,7.12,0,-0.2588190451025208,-0.9659258262890683,0.0,1.0
1223,Kurpark - Großer Teich Nord Ost,4e3bbfd4-bb31-424b-99d7-b67ec0a4e026,2025-06-30 14:00:00+02:00,5.0,4.09,0,-0.4999999999999997,-0.8660254037844388,0.0,1.0
1224,Kurpark - Großer Teich Nord Ost,4e3bbfd4-bb31-424b-99d7-b67ec0a4e026,2025-06-30 15:00:00+02:00,6.0,23.876666666666665,0,-0.7071067811865471,-0.7071067811865479,0.0,1.0
