,name,SID,timestamp,visitors,avgDuration,weekday,hour_sin,hour_cos,weekday_sin,weekday_cos
4093,Kurpark - Zentrum Süd,d1a25cbb-e2d7-49d7-a75b-0e570b6d1e88,2025-06-30 03:00:00+02:00,0.0,0.0,0,0.7071067811865475,0.7071067811865476,0.0,1.0
4094,Kurpark - Zentrum Süd,d1a25cbb-e2d7-49d7-a75b-0e570b6d1e88,2025-06-30 04:00:00+02:00,3.0,3.205,0,0.8660254037844386,0.5000000000000001,0.0,1.0
4095,Kurpark - Zentrum Süd,d1a25cbb-e2d7-49d7-a75b-0e570b6d1e88,2025-06-30 05:00:00+02:00,4.0,1.83,0,0.9659258262890683,0.25881904510252074,0.0,1.0
4096,Kurpark - Zentrum Süd,d1a25cbb-e2d7-49d7-a75b-0e570b6d1e88,2025-06-30 06:00:00+02:00,15.0,7.206666666666667,0,1.0,6.123233995736766e-17,0.0,1.0
4097,Kurpark - Zentrum Süd,d1a25cbb-e2d7-49d7-a75b-0e570b6d1e88,2025-06-30 07:00:00+02:00,9.0,6.57,0,0.9659258262890683,-0.25881904510252063,0.0,1.0
4098,Kurpark - Zentrum Süd,d1a25cbb-e2d7-49d7-a75b-0e570b6d1e88,2025-06-30 08:00:00+02:00,10.0,4.195,0,0.8660254037844387,-0.4999999999999998,0.0,1.0
4099,Kurpark - Zentrum Süd,d1a25cbb-e2d7-49d7-a75b-0e570b6d1e88,2025-06-30 09:00:00+02:00,24.0,9.91,0,0.7071067811865476,-0.7071067811865475,0.0,1.0
8356,Kurpark - Zentrum Süd,d1a25cbb-e2d7-49d7-a75b-0e570b6d1e88,2025-06-30 10:00:00+02:00,31.0,4.55,0,0.49999999999999994,-0.8660254037844387,0.0,1.0
4100,Kurpark - Zentrum Süd,d1a25cbb-e2d7-49d7-a75b-0e570b6d1e88,2025-06-30 11:00:00+02:00,40.0,8.0975,0,0.258819045102521,-0.9659258262890682,0.0,1.0
4101,Kurpark - Zentrum Süd,d1a25cbb-e2d7-49d7-a75b-0e570b6d1e88,2025-06-30 12:00:00+02:00,18.0,7.75,0,1.2246467991473532e-16,-1.0,0.0,1.0
4102,Kurpark - Zentrum Süd,d1a25cbb-e2d7-49d7-a75b-0e570b6d1e88,2025-06-30 13:00:00+02:00,30.0,6.28,0,-0.2588190451025208,-0.9659258262890683,0.0,1.0
4103,Kurpark - Zentrum Süd,d1a25cbb-e2d7-49d7-a75b-0e570b6d1e88,2025-06-30 14:00:00+02:00,22.0,5.73,0,-0.4999999999999997,-0.8660254037844388,0.0,1.0
4104,Kurpark - Zentrum Süd,d1a25cbb-e2d7-49d7-a75b-0e570b6d1e88,2025-06-30 15:00:00+02:00,27.0,8.346666666666666,0,-0.7071067811865471,-0.7071067811865479,0.0,1.0
4105,Kurpark - Zentrum Süd,d1a25cbb-e2d7-49d7-a75b-0e570b6d1e88,2025-06-30 16:00:00+02:00,22.0,9.856666666666667,0,-0.8660254037844384,-0.5000000000000004,0.0,1.0
4106,Kurpark - Zentrum Süd,d1a25cbb-e2d7-49d7-a75b-0e570b6d1e88,2025-06-30 17:00:00+02:00,40.0,11.450000000000001,0,-0.9659258262890683,-0.25881904510252063,0.0,1.0
4107,Kurpark - Zentrum Süd,d1a25cbb-e2d7-49d7-a75b-0e570b6d1e88,2025-06-30 18:00:00+02:00,32.0,11.1675,0,-1.0,-1.8369701987210297e-16,0.0,1.0
