,name,SID,timestamp,visitors,avgDuration,weekday,hour_sin,hour_cos,weekday_sin,weekday_cos
3592,Schulstraße 6,c294766d-4a58-496f-b00e-665dc626bdea,2025-06-30 03:00:00+02:00,4.0,14.393333333333333,0,0.7071067811865475,0.7071067811865476,0.0,1.0
3593,Schulstraße 6,c294766d-4a58-496f-b00e-665dc626bdea,2025-06-30 04:00:00+02:00,4.0,15.536666666666667,0,0.8660254037844386,0.5000000000000001,0.0,1.0
3594,Schulstraße 6,c294766d-4a58-496f-b00e-665dc626bdea,2025-06-30 05:00:00+02:00,5.0,12.5,0,0.9659258262890683,0.25881904510252074,0.0,1.0
3595,Schulstraße 6,c294766d-4a58-496f-b00e-665dc626bdea,2025-06-30 06:00:00+02:00,2.0,1.07,0,1.0,6.123233995736766e-17,0.0,1.0
3596,Schulstraße 6,c294766d-4a58-496f-b00e-665dc626bdea,2025-06-30 07:00:00+02:00,8.0,5.73,0,0.9659258262890683,-0.25881904510252063,0.0,1.0
3597,Schulstraße 6,c294766d-4a58-496f-b00e-665dc626bdea,2025-06-30 08:00:00+02:00,21.0,10.5125,0,0.8660254037844387,-0.4999999999999998,0.0,1.0
3598,Schulstraße 6,c294766d-4a58-496f-b00e-665dc626bdea,2025-06-30 09:00:00+02:00,20.0,11.6075,0,0.7071067811865476,-0.7071067811865475,0.0,1.0
8187,Schulstraße 6,c294766d-4a58-496f-b00e-665dc626bdea,2025-06-30 10:00:00+02:00,29.0,7.72,0,0.49999999999999994,-0.8660254037844387,0.0,1.0
3599,Schulstraße 6,c294766d-4a58-496f-b00e-665dc626bdea,2025-06-30 11:00:00+02:00,24.0,8.75,0,0.258819045102521,-0.9659258262890682,0.0,1.0
3600,Schulstraße 6,c294766d-4a58-496f-b00e-665dc626bdea,2025-06-30 12:00:00+02:00,28.0,7.525,0,1.2246467991473532e-16,-1.0,0.0,1.0
3601,Schulstraße 6,c294766d-4a58-496f-b00e-665dc626bdea,2025-06-30 13:00:00+02:00,18.0,10.355,0,-0.2588190451025208,-0.9659258262890683,0.0,1.0
3602,Schulstraße 6,c294766d-4a58-496f-b00e-665dc626bdea,2025-06-30 14:00:00+02:00,10.0,15.42,0,-0.4999999999999997,-0.8660254037844388,0.0,1.0
3603,Schulstraße 6,c294766d-4a58-496f-b00e-665dc626bdea,2025-06-30 15:00:00+02:00,10.0,11.965,0,-0.7071067811865471,-0.7071067811865479,0.0,1.0
